X,Y,fname,apparent_displacement,vertical_displacement
538108.9807282847,7491621.570607612,Fault_5475,0,0
523268.12074711494,7485625.951278137,Fault_2235,507,293
522285.2600410507,7487566.451212665,Fault_2235,632,394
521224.28995989874,7489118.450215742,Fault_2235,0,0
516855.68842698564,7495863.411676507,Fault_2235,1885,954
515387.8802012106,7497449.911484472,Fault_2235,549,227
515090.6811785205,7497755.410967518,Fault_2235,702,275
514472.00905955135,7498277.889194509,Fault_2235,438,167
532580.7917014657,7486055.071734001,Fault_3496,0,0
531873.554617177,7487027.045153782,Fault_3496,0,0
530193.100235058,7489541.038226145,Fault_3496,-3227,1902
525089.1570868127,7499446.523187181,Fault_3496,0,0
523090.5919463073,7501408.489780864,Fault_3496,907,305
510588.87081478856,7495279.841016444,Fault_5298,563,112
523291.2388393459,7498627.4907763805,Fault_12647,-241,140
527680.8672033168,7490012.509104176,Fault_12647,1974,1775
528891.7891158635,7488198.021047184,Fault_12647,1068,730
544315.0181337398,7491692.172029819,Fault_2997,423,74
544116.7489278477,7491902.661235261,Fault_2997,235,37
543815.639348491,7492181.652319029,Fault_2997,165,18
543212.9417212086,7492633.64954097,Fault_2997,0,0
570104.1808211034,7495519.948710185,Fault_1236,260,99
500879.68003557104,7498973.749739247,Fault_2689,300,108
538799.8704078253,7492714.619908525,Fault_3498,501,251
534340.198053612,7498999.598917205,Fault_3498,-224,117
533038.9283901458,7500854.600384599,Fault_3498,444,283
532914.7496984366,7501129.601234372,Fault_3498,159,92
532622.2591007367,7501487.100418948,Fault_3498,-166,80
532130.4601205576,7502165.598587245,Fault_3498,396,199
530852.9701849594,7503491.101557737,Fault_3498,345,169
507162.7502031472,7498283.819917561,Fault_2688,-355,145
507530.72211108543,7507427.837601766,Fault_2843,0,0
508245.7493539788,7506672.841898306,Fault_2843,-593,92
508959.40851013764,7505671.34795423,Fault_2843,-401,55
509390.3492192297,7505116.849339642,Fault_2843,-380,46
513018.03829120536,7501955.399287626,Fault_2843,1051,182
513377.9109641315,7501368.8897217065,Fault_2843,1127,232
513929.3190118876,7500757.397819897,Fault_2843,823,204
514426.27836077404,7500319.408302404,Fault_2843,900,216
516399.8008133813,7498690.9206743,Fault_2843,581,195
516997.112233693,7498099.429196692,Fault_2843,1226,520
517473.779419789,7497665.421633452,Fault_2843,1418,657
529080.2915462828,7500220.560018577,Fault_6000,-715,528
509206.24967423204,7509881.840685755,Fault_14378,714,284
509514.9395947641,7509377.852253412,Fault_14378,532,223
510423.1293482921,7508407.370112345,Fault_14378,873,382
510916.8983392117,7508045.880656153,Fault_14378,1067,519
513462.93933620414,7507185.9105525855,Fault_14378,1197,507
514147.99990666145,7506812.920626515,Fault_14378,780,370
514948.9805550413,7506013.929416113,Fault_14378,881,446
515243.8597828858,7505523.4307279,Fault_14378,737,332
516559.5288458597,7502992.4422324635,Fault_14378,-703,96
516863.057892551,7502589.9423260875,Fault_14378,-787,107
517439.4522652144,7501894.939140924,Fault_14378,-376,64
