X,Y,Z,formation
537479.4876275827,7491875.605280645,478,Fault_5475
540207.9455752618,7490606.635625113,565,Fault_5475
540639.1213954657,7490337.128159951,539,Fault_5475
541239.6398307178,7489576.641609825,589,Fault_5475
570368.8123870555,7496845.960901113,695,Fault_12644
574282.9607489991,7494845.531046983,661,Fault_12644
579396.9937934306,7492418.058139151,713,Fault_12644
579998.5316096593,7491861.571211314,713,Fault_12644
583470.1785888557,7487731.040327877,780,Fault_12644
586001.2183268128,7485081.983827862,744,Fault_12644
589004.0491896227,7484831.80815312,721,Fault_12644
525375.306361279,7483424.968661134,416,Fault_2235
522902.44986614643,7486302.463320538,479,Fault_2235
521224.28995989874,7489118.450215742,560,Fault_2235
518943.53730775486,7493598.928786993,529,Fault_2235
518184.8404649407,7494525.920076355,538,Fault_2235
516855.68842698564,7495863.411676507,551,Fault_2235
515090.6811785205,7497755.410967518,627,Fault_2235
514412.7483578049,7498326.901432419,627,Fault_2235
513025.7543424689,7499531.384304392,519,Fault_2235
573949.2678682947,7488525.010302809,649,Fault_11442
574879.3367475448,7489218.518704149,667,Fault_11442
575329.640834748,7489486.021694378,667,Fault_11442
575232.3188391123,7489877.52912369,700,Fault_11442
575026.9372478038,7490125.52045331,700,Fault_11442
574559.3921441261,7490482.508488949,678,Fault_11442
572095.8523403808,7492298.988599062,693,Fault_11442
568228.6387204385,7494814.887637056,649,Fault_11442
566597.2628568377,7495447.341788102,618,Fault_11442
534630.3444196425,7483865.054920772,436,Fault_3496
532580.7917014657,7486055.071734001,430,Fault_3496
529932.9888608444,7489804.025997611,510,Fault_3496
527088.2504135587,7493236.51080705,475,Fault_3496
526241.4896892194,7494361.512599494,481,Fault_3496
525855.1976437944,7496044.014673715,478,Fault_3496
524596.2758800784,7500098.515409067,628,Fault_3496
523576.89012020186,7501033.501141637,557,Fault_3496
522189.265679979,7502103.998349946,530,Fault_3496
509508.64289135195,7495457.832211417,628,Fault_5298
511930.1360991848,7495158.363169313,568,Fault_5298
512998.0598571377,7494910.870135035,570,Fault_5298
514050.67839981004,7494421.378981754,555,Fault_5298
515821.3617756188,7492330.396451843,550,Fault_5298
516385.874893561,7492021.900239233,520,Fault_5298
520343.17884565605,7501712.978961742,524,Fault_12647
523430.94108519924,7498430.979713375,524,Fault_12647
525704.7050444481,7493463.004130416,504,Fault_12647
526718.5994980459,7491736.499324158,481,Fault_12647
528289.4594339674,7489080.520819165,475,Fault_12647
529486.5735570787,7487228.240700151,443,Fault_12647
530691.4343011096,7485795.528237928,452,Fault_12647
545893.9824405949,7489525.8652372295,721,Fault_2997
544585.5114451046,7491365.671757678,610,Fault_2997
543815.639348491,7492181.652319029,542,Fault_2997
541963.1916303762,7493283.139785942,511,Fault_2997
541373.2598002416,7493585.628969602,504,Fault_2997
539028.582859757,7496659.634657473,483,Fault_2997
536416.3947481646,7498309.604129587,513,Fault_2997
534479.0962729522,7498804.100987358,536,Fault_2997
569405.4426076568,7496423.331707042,636,Fault_1236
570849.2848741608,7494548.573179336,654,Fault_1236
573101.8518102143,7492547.994214816,859,Fault_1236
573812.1510762923,7492136.507722208,783,Fault_1236
556810.039340778,7496760.771355649,593,Fault_16455
559107.9265132544,7495515.783486796,679,Fault_16455
561172.3202910237,7495368.299701568,654,Fault_16455
561529.0693433504,7495500.300697612,640,Fault_16455
559327.1712826472,7496505.271246155,622,Fault_16455
556810.039340778,7496760.771355649,593,Fault_16455
520020.69483804883,7495438.933689507,511,Fault_962
519433.31787936296,7496282.440096316,528,Fault_962
517847.87960707064,7497213.920483816,541,Fault_962
556931.3508738689,7494207.778886958,595,Fault_16399
555072.2694065165,7496419.742752944,561,Fault_16399
552794.0495665174,7498772.552346604,533,Fault_16399
554152.4032223023,7497748.167106783,541,Fault_16399
555397.4323193779,7496948.761133506,551,Fault_16399
556810.039340778,7496760.771355649,593,Fault_16399
554862.0307353397,7497234.060149198,549,Fault_3370
554527.5386105002,7496881.231944216,549,Fault_3370
500057.0,7500032.893307799,447,Fault_2689
500879.68003557104,7498973.749739247,453,Fault_2689
501067.4969917253,7498734.738845389,458,Fault_2689
502543.11011286743,7496867.258428087,497,Fault_2689
503467.68452945515,7495573.262532515,503,Fault_2689
539513.1873802864,7491597.1356621375,520,Fault_3498
536570.44569593,7495941.114592441,479,Fault_3498
533038.9283901458,7500854.600384599,662,Fault_3498
532914.7496984366,7501129.601234372,655,Fault_3498
532540.0099931684,7501632.11100112,644,Fault_3498
531092.2100394127,7503242.110120674,565,Fault_3498
530175.9656372904,7504196.103201425,559,Fault_3498
512640.2995057406,7497963.869518281,567,Fault_2246
511257.2524690177,7499413.369148155,521,Fault_2246
511105.6788717026,7499624.357510075,516,Fault_2246
510631.01132032747,7496937.431580197,588,Fault_2688
506845.5489036921,7498444.821155919,524,Fault_2688
506136.01832876034,7499008.312686082,507,Fault_2688
503823.902865605,7501484.119981881,458,Fault_2688
524248.5879006177,7500447.019791603,579,Fault_15546
523397.800140245,7500183.49101218,587,Fault_15546
522262.5892723424,7500072.482112177,593,Fault_15546
505915.6287034978,7508804.80710786,586,Fault_2843
508959.40851013764,7505671.34795423,526,Fault_2843
509787.7725655937,7504640.364181733,512,Fault_2843
512019.3346708197,7503183.886323487,493,Fault_2843
513106.5304164757,7501796.901870996,491,Fault_2843
513751.01193077676,7500914.900955502,501,Fault_2843
514491.93672764057,7500261.410799589,517,Fault_2843
516132.4019624576,7498877.912625977,523,Fault_2843
517453.48725954466,7497683.898538314,581,Fault_2843
518769.2901477404,7495725.928489053,513,Fault_2843
519972.78154691105,7492053.43901718,521,Fault_2843
509082.58885466977,7500793.861042405,474,Fault_16767
510629.0500703189,7499876.239462561,506,Fault_16767
509625.3116076818,7501265.899541479,474,Fault_16767
523814.80919091677,7500861.501062085,557,Fault_11445
525518.2012575322,7500983.103860432,595,Fault_11445
528302.3796234686,7501116.061090371,574,Fault_11445
529446.1565419823,7499851.690590592,562,Fault_6000
528302.3796234686,7501116.061090371,574,Fault_6000
526806.6566107097,7502805.055779273,546,Fault_6000
528055.8005487525,7501423.059336577,550,Fault_12646
530418.7091161757,7501486.495882196,594,Fault_12646
532463.8035782139,7501487.067533884,644,Fault_12646
532622.2591007367,7501487.100418948,644,Fault_12646
504095.7336343682,7512570.303059902,556,Fault_14378
508196.460779174,7511007.840648916,557,Fault_14378
509514.9395947641,7509377.852253412,558,Fault_14378
510423.1293482921,7508407.370112345,629,Fault_14378
513462.93933620414,7507185.9105525855,596,Fault_14378
514948.9805550413,7506013.929416113,526,Fault_14378
515243.8597828858,7505523.4307279,512,Fault_14378
516394.7128138839,7503210.940093106,503,Fault_14378
517381.0303675341,7501996.450458599,512,Fault_14378
518524.94426239526,7500500.441911411,520,Fault_14378
519006.42959692003,7499391.451385069,532,Fault_14378
519335.6618072438,7498472.439554908,538,Fault_14378
520631.0354485206,7495403.945530902,511,Fault_14378
