#ID,SiteCode,SiteCommo,PositionX,PositionY,DistanceToContact,ContainingPolygonID,NeighbourPolygonID,ContainingPolygonCode,NeighbourPolygonCode,ContactType,FaultID
0,S0001181,Fe,498334.95320903,7503548.40665971,1077.82,14800,15288,P_-TK-s,P_-HAo-ci,Strat,-1
1,S0001185,Fe,539315.95959969,7505467.29776218,867.64,14341,6148,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
2,S0001186,Fe,517965.82680438,7509443.50145815,22.73,15267,14338,A-HAu-xsl-ci,A-HAd-kd,Fault,12660
3,S0001482,Fe,505671.53734195,7495706.967673071,1099.56,14341,16210,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
4,S0001587,Fe,521925.4711444,7500877.37457321,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
5,S0002943,Fe,542852.12722071,7512530.31984057,15.36,5501,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
6,S0002945,Fe,533919.39206561,7501319.11578674,225.22,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
7,S0002946,Fe,524522.1820093602,7510734.87992429,53.46,14341,5501,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
8,S0002950,Fe,540516.5096417001,7504756.938801541,35.58,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
9,S0003430,Fe,537057.45151089,7502797.39324289,304.89,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
10,S0003431,Fe,527772.0190448,7500850.18328737,112.73,14339,15990,A-HAm-cib,A-HAu-xsl-ci,Strat,-1
11,S0003432,Fe,521911.91276564,7499805.645154221,48.91,15984,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
12,S0003433,Fe,518292.34304652,7498404.68077269,48.07,15985,15984,A-HAd-kd,A-HAm-cib,Strat,-1
13,S0005508,Fe,528884.3155511902,7513147.196054351,50.43,14338,5501,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
14,S0018511,Asbr,531430.49890927,7516001.660764831,715.38,14341,5501,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
15,S0020927,Fe,514737.36485321,7509639.42899205,108.56,14338,14338,A-HAd-kd,A-HAd-kd,Fault,15552
16,S0020928,Fe,520909.9511141,7511052.47757509,186.97,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
17,S0022158,Fe,523600.7287405,7501079.339896379,50.86,14341,14341,P_-HAb-cib,P_-HAb-cib,Fault,3496
18,S0022159,Fe,518301.18554535,7499698.36161656,118.10,14341,15990,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
19,S0023046,Fe,541903.7823336701,7504360.24216293,159.19,14339,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
20,S0023156,Fe,526639.62430781,7515250.10214533,345.75,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
21,S0029281,Asbr,527999.43277773,7500600.594080769,361.25,14339,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
22,S0029282,Asbr,540200.29870689,7503200.27253777,81.60,14339,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
23,S0029283,Asbr,548599.7109250302,7513799.551214751,133.85,14339,14340,A-HAm-cib,A-FOj-xs-b,Strat,-1
24,S0029284,Mn,531400.26199019,7501000.25573542,89.84,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
25,S0030666,Fe,523436.86193386,7511303.54420836,535.48,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
26,S0030668,Fe,518636.62155483,7510353.71159097,106.39,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
27,S0030670,Fe,509037.74969365,7509853.153831471,10.81,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
28,S0030671,Fe,524958.0167095701,7509379.50621445,114.65,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
29,S0030672,Fe,525629.7654407701,7509502.37909241,46.92,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
30,S0030673,Fe,523702.86633394,7509118.150398631,224.50,6148,14341,P_-HAj-xci-od,P_-HAb-cib,Igneous,-1
31,S0223930,Gvl,530831.95469848,7503754.62756952,167.30,6148,6148,P_-HAj-xci-od,P_-HAj-xci-od,Fault,3498
32,S0223931,Gvl,530991.4072372001,7503960.97449676,176.52,6148,15286,P_-HAj-xci-od,P_-HAw-fr,IntrIgn,-1
33,S0223932,Gvl,532224.49587211,7504525.969955661,101.41,6148,15286,P_-HAj-xci-od,P_-HAw-fr,IntrIgn,-1
34,S0224581,Fe,521925.4711444,7500877.37457321,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
35,S0225347,Fe,524637.38982582,7496022.35990479,39.13,14311,14311,A-FOu-bbo,A-FOu-bbo,Fault,12647
36,S0225348,Fe,521925.4711444,7500877.37457321,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
37,S0225350,Fe,527772.0190448,7500850.18328737,112.73,14339,15990,A-HAm-cib,A-HAu-xsl-ci,Strat,-1
38,S0225351,Fe,544819.95020013,7509757.428803101,198.56,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
39,S0225725,Fe,494000.99957381,7512294.97520014,135.26,14341,2911,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
40,S0225726,Fe,494000.99957381,7512294.97520014,135.26,14341,2911,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
41,S0226150,Fe,521925.4711444,7500877.37457321,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
42,S0230310,Fe,521925.4711444,7500877.37457321,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
43,S0230416,Fe,520591.05989977,7500735.43305293,188.35,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
44,S0230417,Fe,517270.57612148,7499253.790410751,115.23,14341,15990,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
45,S0231319,Fe,521925.4711444,7500877.37457321,257.63,15990,14341,A-HAu-xsl-ci,P_-HAb-cib,Strat,-1
46,S0231531,Fe,520909.9511141,7511052.47757509,186.97,14339,14338,A-HAm-cib,A-HAd-kd,Strat,-1
47,S0233919,Fe,506566.38370155,7507274.589914081,80.10,14341,4331,P_-HAb-cib,P_-HAj-xci-od,Igneous,-1
48,S0233920,Fe,507214.73230218,7510206.563475681,132.76,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
49,S0233921,Fe,505699.00848048,7509917.73711692,399.31,14338,2911,A-HAd-kd,A-HAu-xsl-ci,Strat,-1
50,S0234752,Fe,497453.97961369,7511497.94870007,104.07,14341,2911,P_-HAb-cib,A-HAu-xsl-ci,Strat,-1
51,S0234753,Fe,496396.96175837,7512810.996613471,292.14,14338,14339,A-HAd-kd,A-HAm-cib,Strat,-1
