X,Y,Z,formation
538523.47963673,7511559.70031612,661.,Weeli_Wolli_Formation
540057.37106246,7509681.66890129,647.,Weeli_Wolli_Formation
540348.21141577,7507671.65963982,639.,Weeli_Wolli_Formation
537068.6509274,7505741.16039321,622.,Weeli_Wolli_Formation
533603.88177167,7504709.62726154,614.,Weeli_Wolli_Formation
531101.5790886651,7503246.79215848,604.,Weeli_Wolli_Formation
530842.3050688059,7503487.7725408785,591.,Weeli_Wolli_Formation
527759.80993316,7502688.05957665,551.,Weeli_Wolli_Formation
527015.2964119801,7502589.0864156885,552.,Weeli_Wolli_Formation
527177.9123663193,7502379.396896681,555.,Weeli_Wolli_Formation
524294.11173178,7502249.52096834,570.,Weeli_Wolli_Formation
522534.18705220777,7501850.70980351,560.,Weeli_Wolli_Formation
522408.2518345801,7501922.654008511,560.,Weeli_Wolli_Formation
520358.734899254,7501713.4126037415,546.,Weeli_Wolli_Formation
520333.24271642976,7501711.867273416,546.,Weeli_Wolli_Formation
517884.1520700741,7501238.932180016,519.,Weeli_Wolli_Formation
517967.95286375773,7501114.266325987,520.,Weeli_Wolli_Formation
517828.95992034,7501072.4400907,520.,Weeli_Wolli_Formation
515577.25807272,7500656.41927185,521.,Weeli_Wolli_Formation
514436.8832066053,7500323.383437389,528.,Weeli_Wolli_Formation
513474.0326228261,7507191.2568021165,571.,Weeli_Wolli_Formation
514876.98971569,7507655.43014027,651.,Weeli_Wolli_Formation
518760.52942642,7508556.97997184,670.,Weeli_Wolli_Formation
521049.46638255724,7509064.655564553,613.,Weeli_Wolli_Formation
521100.5061366483,7509072.195111302,613.,Weeli_Wolli_Formation
522005.95124403,7508998.02949473,554.,Weeli_Wolli_Formation
524456.68974623,7509487.55955939,584.,Weeli_Wolli_Formation
528658.28024117,7510422.63934068,658.,Weeli_Wolli_Formation
532641.34688511,7511793.76199431,628.,Weeli_Wolli_Formation
534344.7700695,7512432.71786348,656.,Weeli_Wolli_Formation
537981.21323065,7511781.5175656,635.,Weeli_Wolli_Formation
516849.1357519965,7495855.40267385,528.,Jeerinah_Formation
516401.34070648,7495261.40963032,545.,Jeerinah_Formation
515921.67771425,7494697.41118314,557.,Jeerinah_Formation
518763.52624178265,7495714.531122275,522.,Jeerinah_Formation
518588.7601342,7495217.43062645,529.,Jeerinah_Formation
518471.90053713,7494715.42881529,522.,Jeerinah_Formation
493527.1182146452,7513706.125807981,573.,Wittenoom_Formation
497003.67893379,7513103.22976657,596.,Wittenoom_Formation
497873.2889627446,7512849.489388317,595.,Wittenoom_Formation
497909.55014303536,7512835.193141059,595.,Wittenoom_Formation
500974.1498695,7512071.25858174,583.,Wittenoom_Formation
505983.9587328,7510602.8182853,556.,Wittenoom_Formation
509224.76157931896,7509832.478551407,535.,Wittenoom_Formation
509527.4123256193,7509376.647304392,535.,Wittenoom_Formation
510022.0702572,7509328.8600479,573.,Wittenoom_Formation
512988.60170817404,7509639.680643224,569.,Wittenoom_Formation
515434.4982784222,7509835.003837887,557.,Wittenoom_Formation
515554.427398974,7509798.460113912,557.,Wittenoom_Formation
515780.96135891025,7509739.889473748,570.,Wittenoom_Formation
520343.94052664,7510754.50172674,597.,Wittenoom_Formation
522835.0200552533,7511572.344107556,568.,Wittenoom_Formation
522852.3463801091,7511582.4541240465,568.,Wittenoom_Formation
523243.70470521,7511810.81409958,581.,Wittenoom_Formation
525245.89078991,7513907.06973636,602.,Wittenoom_Formation
526563.31979686,7516282.58188157,636.,Wittenoom_Formation
552018.8499434047,7516492.022879522,644.,Wittenoom_Formation
551106.04774489,7514993.63150504,638.,Wittenoom_Formation
548223.18885609,7514147.1383113,627.,Wittenoom_Formation
546821.42940727,7512798.15075356,634.,Wittenoom_Formation
546647.5624028842,7512676.54185883,619.,Wittenoom_Formation
546631.1332037331,7512665.050680517,619.,Wittenoom_Formation
546266.2259829,7511758.85463604,645.,Wittenoom_Formation
546082.6082970671,7511385.9076061975,657.,Wittenoom_Formation
546071.5082771338,7511369.25830245,657.,Wittenoom_Formation
544864.169699,7510153.15131833,648.,Wittenoom_Formation
544520.36022724,7508619.14910038,672.,Wittenoom_Formation
543753.31114338,7507006.14853014,616.,Wittenoom_Formation
540447.26136272,7503647.15041113,576.,Wittenoom_Formation
536956.03903865,7503170.63928843,580.,Wittenoom_Formation
536215.44129182,7501319.61871319,552.,Wittenoom_Formation
532990.7747944555,7500985.70182247,544.,Wittenoom_Formation
532904.0695134036,7501128.961417044,541.,Wittenoom_Formation
529061.08965871,7501044.56824947,562.,Wittenoom_Formation
528449.42942169,7500976.55027108,554.,Wittenoom_Formation
553432.9285956464,7516492.022879522,667.,Marra_Mamba_Iron_Formation
552594.35858283,7515463.63230948,669.,Marra_Mamba_Iron_Formation
550872.35897812,7514435.60825313,656.,Marra_Mamba_Iron_Formation
548700.25035544,7513696.62955518,656.,Marra_Mamba_Iron_Formation
547423.94001534,7512774.14064299,644.,Marra_Mamba_Iron_Formation
547114.2637708104,7512140.900866585,660.,Marra_Mamba_Iron_Formation
547104.4526327184,7512122.394337149,660.,Marra_Mamba_Iron_Formation
546910.20789459,7511733.13013649,684.,Marra_Mamba_Iron_Formation
546762.4904998624,7510993.451111171,691.,Marra_Mamba_Iron_Formation
546758.3017795589,7510972.91567971,691.,Marra_Mamba_Iron_Formation
546523.25080594,7510615.1384163,683.,Marra_Mamba_Iron_Formation
545238.03995517,7509170.65116065,719.,Marra_Mamba_Iron_Formation
544499.40114023,7507634.65253638,664.,Marra_Mamba_Iron_Formation
