index,X,Y,Z,formation
0,538523.47963673,7511559.70031612,661.0,Weeli_Wolli_Formation
1,540057.37106246,7509681.66890129,647.0,Weeli_Wolli_Formation
2,540348.21141577,7507671.65963982,639.0,Weeli_Wolli_Formation
3,537068.6509274,7505741.16039321,622.0,Weeli_Wolli_Formation
4,533603.88177167,7504709.62726154,614.0,Weeli_Wolli_Formation
5,531101.5790886651,7503246.79215848,604.0,Weeli_Wolli_Formation
6,530842.3050688059,7503487.7725408785,591.0,Weeli_Wolli_Formation
7,527759.80993316,7502688.05957665,551.0,Weeli_Wolli_Formation
8,527015.2964119801,7502589.086415688,552.0,Weeli_Wolli_Formation
9,527177.9123663193,7502379.396896681,555.0,Weeli_Wolli_Formation
10,524294.11173178,7502249.52096834,570.0,Weeli_Wolli_Formation
11,522534.1870522078,7501850.70980351,560.0,Weeli_Wolli_Formation
12,522408.2518345801,7501922.654008511,560.0,Weeli_Wolli_Formation
13,520358.734899254,7501713.4126037415,546.0,Weeli_Wolli_Formation
14,520333.24271642976,7501711.867273416,546.0,Weeli_Wolli_Formation
15,517884.15207007405,7501238.932180016,519.0,Weeli_Wolli_Formation
16,517967.95286375773,7501114.266325988,520.0,Weeli_Wolli_Formation
17,517828.95992034,7501072.4400907,520.0,Weeli_Wolli_Formation
18,515577.25807272,7500656.41927185,521.0,Weeli_Wolli_Formation
19,514436.88320660533,7500323.383437389,528.0,Weeli_Wolli_Formation
20,513474.0326228261,7507191.256802115,571.0,Weeli_Wolli_Formation
21,514876.98971569,7507655.43014027,651.0,Weeli_Wolli_Formation
22,518760.52942642,7508556.97997184,670.0,Weeli_Wolli_Formation
23,521049.4663825573,7509064.655564552,613.0,Weeli_Wolli_Formation
24,521100.5061366483,7509072.195111303,613.0,Weeli_Wolli_Formation
25,522005.95124403,7508998.02949473,554.0,Weeli_Wolli_Formation
26,524456.68974623,7509487.55955939,584.0,Weeli_Wolli_Formation
27,528658.28024117,7510422.63934068,658.0,Weeli_Wolli_Formation
28,532641.34688511,7511793.76199431,628.0,Weeli_Wolli_Formation
29,534344.7700695,7512432.71786348,656.0,Weeli_Wolli_Formation
30,537981.21323065,7511781.517565599,635.0,Weeli_Wolli_Formation
31,516849.1357519965,7495855.40267385,528.0,Jeerinah_Formation
32,516401.34070648,7495261.40963032,545.0,Jeerinah_Formation
33,515921.67771425,7494697.41118314,557.0,Jeerinah_Formation
34,518763.5262417826,7495714.531122275,522.0,Jeerinah_Formation
35,518588.7601342,7495217.43062645,529.0,Jeerinah_Formation
36,518471.90053713,7494715.42881529,522.0,Jeerinah_Formation
37,493527.11821464525,7513706.125807981,573.0,Wittenoom_Formation
38,497003.67893379,7513103.22976657,596.0,Wittenoom_Formation
39,497873.2889627446,7512849.489388318,595.0,Wittenoom_Formation
40,497909.55014303536,7512835.193141059,595.0,Wittenoom_Formation
41,500974.14986949996,7512071.25858174,583.0,Wittenoom_Formation
42,505983.95873280003,7510602.818285299,556.0,Wittenoom_Formation
43,509224.76157931896,7509832.478551407,535.0,Wittenoom_Formation
44,509527.4123256193,7509376.647304392,535.0,Wittenoom_Formation
45,510022.07025720004,7509328.8600479,573.0,Wittenoom_Formation
46,512988.60170817404,7509639.680643224,569.0,Wittenoom_Formation
47,515434.49827842216,7509835.003837887,557.0,Wittenoom_Formation
48,515554.42739897396,7509798.460113913,557.0,Wittenoom_Formation
49,515780.9613589103,7509739.889473747,570.0,Wittenoom_Formation
50,520343.94052664,7510754.50172674,597.0,Wittenoom_Formation
51,522835.0200552533,7511572.344107556,568.0,Wittenoom_Formation
52,522852.3463801091,7511582.4541240465,568.0,Wittenoom_Formation
53,523243.70470521,7511810.81409958,581.0,Wittenoom_Formation
54,525245.89078991,7513907.06973636,602.0,Wittenoom_Formation
55,526563.31979686,7516282.58188157,636.0,Wittenoom_Formation
56,552018.8499434047,7516492.022879522,644.0,Wittenoom_Formation
57,551106.04774489,7514993.63150504,638.0,Wittenoom_Formation
58,548223.18885609,7514147.1383112995,627.0,Wittenoom_Formation
59,546821.42940727,7512798.15075356,634.0,Wittenoom_Formation
60,546647.5624028842,7512676.54185883,619.0,Wittenoom_Formation
61,546631.1332037331,7512665.050680517,619.0,Wittenoom_Formation
62,546266.2259829,7511758.85463604,645.0,Wittenoom_Formation
63,546082.6082970671,7511385.907606197,657.0,Wittenoom_Formation
64,546071.5082771338,7511369.25830245,657.0,Wittenoom_Formation
65,544864.169699,7510153.15131833,648.0,Wittenoom_Formation
66,544520.36022724,7508619.14910038,672.0,Wittenoom_Formation
67,543753.31114338,7507006.14853014,616.0,Wittenoom_Formation
68,540447.26136272,7503647.15041113,576.0,Wittenoom_Formation
69,536956.03903865,7503170.63928843,580.0,Wittenoom_Formation
70,536215.44129182,7501319.61871319,552.0,Wittenoom_Formation
