Fault,HorizontalRadius,VerticalRadius,InfluenceDistance
Fault_7344,5528.517415163155,11057.03483032631,2764.2587075815777
Fault_2235,4392.340327380731,8784.680654761461,2196.1701636903654
Fault_2248,4079.215315959029,8158.430631918058,2039.6076579795144
Fault_2688,5116.192925725201,10232.385851450403,2558.0964628626007
Fault_2689,3550.583628630917,7101.167257261834,1775.2918143154584
Fault_2843,12160.247318236408,24320.494636472817,6080.123659118204
Fault_2997,4463.578132484692,8927.156264969384,2231.789066242346
Fault_3496,5291.313891982601,10582.627783965201,2645.6569459913003
Fault_3498,7528.802285218649,15057.604570437297,3764.4011426093243
Fault_6205,6107.208152671625,12214.41630534325,3053.6040763358124
Fault_12645,4352.892332251335,8705.78466450267,2176.4461661256673
Fault_12647,5304.15633085277,10608.31266170554,2652.078165426385
Fault_12658,9500.029068343514,19000.05813668703,4750.014534171757
Fault_12660,7909.50368941001,15819.00737882002,3954.751844705005
Fault_14378,14896.780756709712,29793.561513419423,7448.390378354856
Fault_15552,5550.935384610253,11101.870769220506,2775.4676923051265
Fault_16769,3942.091326324776,7884.182652649552,1971.045663162388
