X,Y,fname,apparent_displacement,vertical_displacement,downthrow_dir
503459.30747516686,7497027.517389475,Fault_7344,-1177,213,239.53155476107204
501484.47744469246,7499354.127013206,Fault_7344,-1047,293,239.53155476107204
501182.24181517644,7500066.868005109,Fault_7344,-886,260,239.53155476107204
515354.57641296176,7497476.97492144,Fault_2235,564,219,44.225503821001574
515081.3739415175,7497757.829844736,Fault_2235,682,269,44.225503821001574
514462.89635110885,7498278.9374536555,Fault_2235,413,198,44.225503821001574
514220.4193789854,7498441.161617287,Fault_2235,404,206,44.225503821001574
522410.2323590778,7512137.019479184,Fault_2248,9,0,228.8504279487391
519417.7322289855,7515478.928687432,Fault_2248,-657,110,228.8504279487391
507128.76705196715,7498295.461483906,Fault_2688,-316,26,213.740245835709
506095.6498334111,7499044.618296957,Fault_2688,-619,44,213.740245835709
504259.43943402043,7500996.23492811,Fault_2688,9,0,33.740245835709004
500902.39314162196,7498952.937988302,Fault_2689,301,89,52.52464773596752
502954.1157063779,7496260.7173693925,Fault_2689,733,163,52.52464773596752
507777.4616936315,7507174.57719828,Fault_2843,14,0,226.76585890702898
508283.9488164532,7506627.167013084,Fault_2843,-597,203,46.765858907029
508984.52095799893,7505645.5926270485,Fault_2843,-363,153,46.765858907029
509418.5814981805,7505090.909735773,Fault_2843,-366,162,46.765858907029
513031.2531587101,7501941.986974254,Fault_2843,1054,912,46.765858907029
513419.0839339783,7501326.6654648725,Fault_2843,1141,1020,46.765858907029
513982.320915368,7500717.34994422,Fault_2843,830,689,46.765858907029
514436.15434768616,7500317.355938603,Fault_2843,885,688,46.765858907029
516408.0477275356,7498689.684731634,Fault_2843,589,256,46.765858907029
517046.1159568411,7498061.573232298,Fault_2843,1282,412,46.765858907029
517515.03954952856,7497623.461603942,Fault_2843,1414,345,46.765858907029
525325.505628057,7499021.226343844,Fault_3496,10,1,61.988900242914845
523030.67531095765,7501448.433077919,Fault_3496,984,106,61.988900242914845
522395.9013795352,7501938.481481321,Fault_3496,143,8,61.988900242914845
534323.1113282444,7499015.00176838,Fault_3498,-197,25,232.57552959323073
533028.5078386215,7500865.5447231885,Fault_3498,415,114,52.57552959323071
532905.6167448963,7501137.697782937,Fault_3498,171,52,52.57552959323071
532609.6850628131,7501499.134679069,Fault_3498,-148,51,232.57552959323073
532095.0758472775,7502195.977325934,Fault_3498,446,142,52.57552959323071
530809.6797610357,7503528.990286234,Fault_3498,368,129,52.57552959323071
530311.8336132559,7504047.288592443,Fault_3498,185,68,52.57552959323071
498506.71164967096,7496529.453126271,Fault_6205,514,195,35.81141298623257
495603.13825956685,7498070.297396106,Fault_6205,2137,1353,35.81141298623257
495224.3712397273,7500249.755897076,Fault_12645,-4551,2591,36.04320578068735
497535.6493409927,7498289.866749878,Fault_12645,-1522,539,216.04320578068734
521226.7437436528,7501019.348697659,Fault_12647,18,0,56.57882958095523
522503.25198415585,7499743.033783241,Fault_12647,20,1,56.57882958095523
523309.28422204504,7498610.73675247,Fault_12647,-321,10,236.57882958095524
547112.3503881877,7512135.730698762,Fault_12658,-11,0,246.114216183516
548249.1622016816,7510780.316033875,Fault_12658,-239,14,246.114216183516
511525.3333518011,7511918.112319822,Fault_12660,-611,296,24.41199511687648
515015.16021342715,7509990.587740259,Fault_12660,553,64,204.41199511687648
515432.9632964307,7509824.298777845,Fault_12660,44,5,204.41199511687648
515793.1097436117,7509730.963285628,Fault_12660,415,54,204.41199511687648
518952.95844258385,7509329.72002614,Fault_12660,1418,67,204.41199511687648
519431.7841002235,7509260.590957547,Fault_12660,1383,53,204.41199511687648
509213.57627425826,7509879.452506604,Fault_14378,727,269,226.07272475480985
509527.05626902333,7509367.668716126,Fault_14378,550,285,226.07272475480985
510475.45983533486,7508375.255558655,Fault_14378,937,503,226.07272475480985
511009.1102583866,7508008.565078973,Fault_14378,1168,602,226.07272475480985
513533.83629640506,7507153.002867543,Fault_14378,1284,558,226.07272475480985
514173.2860478195,7506804.427985646,Fault_14378,728,415,226.07272475480985
514976.0586838375,7505983.414695725,Fault_14378,923,662,226.07272475480985
515293.5646700362,7505416.037205647,Fault_14378,837,638,226.07272475480985
516593.87386186165,7502955.2027313365,Fault_14378,-650,327,226.07272475480985
516877.2340539912,7502579.885596918,Fault_14378,-781,358,226.07272475480985
517462.54061528476,7501864.779280794,Fault_14378,-380,172,226.07272475480985
517887.68713601766,7501227.408170024,Fault_14378,-141,52,226.07272475480985
518843.60105918435,7499933.980280012,Fault_14378,-264,65,226.07272475480985
518964.04012446385,7499545.462775478,Fault_14378,-192,43,226.07272475480985
519111.79645346996,7499068.717316837,Fault_14378,-285,51,226.07272475480985
519265.1859592209,7498661.066806187,Fault_14378,-316,47,226.07272475480985
519808.6602302139,7497367.688669377,Fault_14378,-1263,70,226.07272475480985
512517.1369117768,7510043.222213517,Fault_15552,325,12,215.52296838162738
510422.5722900127,7511898.686231603,Fault_15552,654,206,215.52296838162738
518847.39434206206,7513134.001127849,Fault_16769,-13,3,13.37373269619104
517443.48883386067,7513375.993261564,Fault_16769,1412,390,193.37373269619104
538110.63306649,7497524.11207555,Fault_2997,1,1,1
