X,Y,Z,DipDirection,dip,DipPolarity,formation
501912.15340039,7498718.7578341,566.,59.53155476107203,90,1,Fault_7344
515387.88020121,7497449.91148447,524.,44.22550382100158,90,1,Fault_2235
520542.46265294,7514160.96857664,568.,48.85042794873911,90,1,Fault_2248
506845.54890369,7498444.82115592,667.,33.740245835709004,90,1,Fault_2688
501067.49699173,7498734.73884539,451.,52.52464773596752,90,1,Fault_2689
513377.91096413,7501368.88972171,728.,46.765858907029,90,1,Fault_2843
538110.63306649,7497524.11207555,500.,35.7688500251725,90,1,Fault_2997
524596.27588008,7500098.51540907,472.,61.98890024291485,90,1,Fault_3496
532869.00517466,7501231.109522,498.,52.57552959323071,90,1,Fault_3498
497312.02296961,7497081.81987627,524.,35.81141298623257,90,1,Fault_6205
496442.57293322,7499141.71741236,498.,36.04320578068735,90,1,Fault_12645
523291.23883935,7498627.49077638,546.,56.57882958095523,90,1,Fault_12647
548948.53390282,7507152.60603048,619.,66.11421618351599,90,1,Fault_12658
514456.26884338,7510126.91208084,525.,24.41199511687648,90,1,Fault_12660
515243.85978289,7505523.4307279,560.,46.07272475480986,90,1,Fault_14378
512605.02845276,7509984.39224006,557.,35.52296838162738,90,1,Fault_15552
519646.4217734,7512962.96949212,600.,13.373732696191041,90,1,Fault_16769
