X,Y,Z,formation
504801.44145060383,7494819.078336485,578.,Weeli_Wolli_Formation
504581.11910248885,7495297.579302655,559.,Weeli_Wolli_Formation
504316.6929604082,7495806.511404642,553.,Weeli_Wolli_Formation
504095.89412985824,7496177.011413837,536.,Weeli_Wolli_Formation
503823.35216625914,7496575.204869629,536.,Weeli_Wolli_Formation
503592.7369450291,7496888.204422814,503.,Weeli_Wolli_Formation
503107.1962351029,7497337.517431655,487.,Woongarra_Rhyolite
502590.570853832,7497824.728873012,483.,Woongarra_Rhyolite
502211.466964902,7498319.722639817,489.,Woongarra_Rhyolite
501828.4069731973,7498833.656708618,505.,Woongarra_Rhyolite
501629.3950954773,7499127.906804592,475.,Woongarra_Rhyolite
501434.07138844446,7499452.427823181,472.,Boolgeeda_Iron_Formation
501308.05624782445,7499698.1798481215,466.,Boolgeeda_Iron_Formation
501229.76717665937,7499896.219458406,475.,Boolgeeda_Iron_Formation
501195.3728067294,7500019.717998385,475.,Boolgeeda_Iron_Formation
501157.23341044044,7500156.668964708,457.,Turee_Creek_Group
501105.81889861333,7500330.866034339,457.,Turee_Creek_Group
501004.7392910783,7500641.621403334,460.,Turee_Creek_Group
500909.15254862135,7500935.52462411,452.,Turee_Creek_Group
500872.3457838313,7501048.769243015,450.,Turee_Creek_Group
500716.52901412454,7501457.084580055,452.,Turee_Creek_Group
500493.4721351896,7502024.83689946,450.,Turee_Creek_Group
500408.71052119427,7502240.582780834,449.,Turee_Creek_Group
504898.2775866755,7494632.538174667,566.,Brockman_Iron_Formation
504898.23342151433,7494632.600795999,566.,Brockman_Iron_Formation
504810.5248273041,7494823.260712331,578.,Brockman_Iron_Formation
504590.20247918915,7495301.761678501,559.,Brockman_Iron_Formation
504325.28320687177,7495811.630746952,553.,Brockman_Iron_Formation
504104.4843763218,7496182.130756147,536.,Brockman_Iron_Formation
503831.4029215129,7496581.136592806,536.,Brockman_Iron_Formation
503600.7877002829,7496894.136145991,503.,Brockman_Iron_Formation
503113.80422155716,7497345.023063875,487.,Weeli_Wolli_Formation
502598.50994709594,7497830.809234691,483.,Woongarra_Rhyolite
502219.40605816594,7498325.803001496,489.,Woongarra_Rhyolite
501836.6903254067,7498839.259036363,505.,Woongarra_Rhyolite
501637.67844768666,7499133.509132338,475.,Woongarra_Rhyolite
501442.9697327115,7499456.990658847,472.,Woongarra_Rhyolite
501316.9545920915,7499702.742683787,466.,Woongarra_Rhyolite
501239.40055887256,7499898.902357423,475.,Woongarra_Rhyolite
501205.0061889426,7500022.400897402,475.,Woongarra_Rhyolite
501166.86682541954,7500159.351746071,457.,Woongarra_Rhyolite
501115.3284823927,7500333.95922304,457.,Boolgeeda_Iron_Formation
501014.2488748577,7500644.714592035,460.,Boolgeeda_Iron_Formation
500918.6628334267,7500938.615656774,452.,Turee_Creek_Group
500881.85606863664,7501051.860275678,450.,Turee_Creek_Group
500725.8364658734,7501460.741264611,452.,Turee_Creek_Group
