X,Y,Z,formation
504894.2004085222,7494629.643895278,566.,Fault_7344
504894.1120782,7494629.76913794,566.,Fault_7344
504453.46738197,7495586.77107028,547.,Fault_7344
504011.86972087,7496327.77108867,536.,Fault_7344
503550.63927841,7496953.77019504,503.,Fault_7344
502670.36117825,7497728.77030049,483.,Fault_7344
501912.15340039,7498718.7578341,505.,Fault_7344
501514.12964495,7499307.25802605,491.,Fault_7344
501262.09936371,7499798.76207593,466.,Fault_7344
501193.31062385,7500045.75915589,475.,Fault_7344
501130.78961201,7500270.26155489,457.,Fault_7344
500928.63039694,7500891.77229288,460.,Fault_7344
500855.01686736,7501118.26153069,450.,Fault_7344
500408.90310949,7502253.7661695,449.,Fault_7344
518061.8375480578,7494629.643895278,524.,Fault_2235
517804.77017997,7494846.41931665,522.,Fault_2235
517393.62924844,7495306.91982853,530.,Fault_2235
517026.31924961,7495626.90764268,528.,Fault_2235
516855.68842699,7495863.41167651,528.,Fault_2235
516444.34235097,7496285.90853327,538.,Fault_2235
515754.79905719,7497040.40949866,573.,Fault_2235
515572.22832905,7497244.41082431,545.,Fault_2235
515387.88020121,7497449.91148447,532.,Fault_2235
515090.68117852,7497755.41096752,532.,Fault_2235
515033.51324235,7497814.39732047,532.,Fault_2235
514809.95045296,7497998.90952445,564.,Fault_2235
514561.90876484,7498203.89843185,651.,Fault_2235
514472.00905955,7498277.88919451,651.,Fault_2235
514412.7483578,7498326.90143242,651.,Fault_2235
514229.46894694,7498441.40168252,637.,Fault_2235
514165.47413392,7498481.40037068,637.,Fault_2235
513025.75434247,7499531.38430439,531.,Fault_2235
522843.71380063,7511577.4211285,568.,Fault_2248
522667.64324426,7511811.67281953,599.,Fault_2248
522459.5291779,7512088.52096737,600.,Fault_2248
522004.11183369,7512606.52023572,575.,Fault_2248
521206.44805255,7513361.99073525,580.,Fault_2248
520542.46265294,7514160.96857664,609.,Fault_2248
519928.68076875,7514807.45946212,656.,Fault_2248
519637.84378016,7515158.94141297,603.,Fault_2248
519480.05589177,7515414.44067142,635.,Fault_2248
519418.4346492,7515485.76366912,619.,Fault_2248
519041.14193347,7515922.43816204,600.,Fault_2248
518548.93982876895,7516492.022879522,590.,Fault_2248
510631.01132033,7496937.4315802,667.,Fault_2688
509447.91276579,7497399.33211582,646.,Fault_2688
508057.5648039,7497890.83683742,547.,Fault_2688
507162.75020315,7498283.81991756,535.,Fault_2688
506845.54890369,7498444.82115592,525.,Fault_2688
506136.01832876,7499008.31268608,534.,Fault_2688
505769.049991,7499405.30830176,522.,Fault_2688
504845.39350805,7500357.31329511,495.,Fault_2688
503823.90286561,7501484.11998188,467.,Fault_2688
500011.29030237,7500081.73764645,451.,Fault_2689
500225.58119196,7499852.75129733,459.,Fault_2689
500317.04067994,7499722.74787672,459.,Fault_2689
500540.32390199,7499405.75407872,461.,Fault_2689
500693.8478709,7499210.24120471,465.,Fault_2689
500879.68003557,7498973.74973925,465.,Fault_2689
501067.49699173,7498734.73884539,468.,Fault_2689
501690.54785682,7498015.74886683,493.,Fault_2689
502102.86408409,7497413.75487866,480.,Fault_2689
502494.88813115,7496940.75366979,499.,Fault_2689
502543.11011287,7496867.25842809,499.,Fault_2689
502892.62123202,7496333.75041521,513.,Fault_2689
503467.68452946,7495573.26253252,544.,Fault_2689
505915.6287035,7508804.80710786,728.,Fault_2843
506726.50271604,7508144.82547752,702.,Fault_2843
507530.72211109,7507427.83760177,591.,Fault_2843
508245.74935398,7506672.84189831,549.,Fault_2843
508586.83144467,7506187.34996761,523.,Fault_2843
508959.40851014,7505671.34795423,532.,Fault_2843
509170.22937894,7505384.20382169,526.,Fault_2843
509196.91234511,7505347.85984386,526.,Fault_2843
509390.34921923,7505116.84933964,526.,Fault_2843
509634.33052316,7504825.36077094,496.,Fault_2843
509787.77256559,7504640.36418173,496.,Fault_2843
510066.18744029,7504346.3751795,485.,Fault_2843
510560.51427431,7503993.37264487,493.,Fault_2843
511170.49426393,7503639.48358651,488.,Fault_2843
511302.52396968,7503562.87918146,486.,Fault_2843
512019.33467082,7503183.88632349,487.,Fault_2843
512378.69223974,7502790.37781566,491.,Fault_2843
512482.67910213,7502680.07480504,491.,Fault_2843
512803.84000718,7502339.39194001,496.,Fault_2843
513018.03829121,7501955.39928763,513.,Fault_2843
513106.53041648,7501796.901871,513.,Fault_2843
513377.91096413,7501368.88972171,506.,Fault_2843
513751.01193078,7500914.9009555,522.,Fault_2843
513929.31901189,7500757.3978199,522.,Fault_2843
514426.27836077,7500319.4083024,528.,Fault_2843
514491.93672764,7500261.41079959,528.,Fault_2843
515378.95553144,7499575.91353935,525.,Fault_2843
515891.7593447,7499082.90846197,538.,Fault_2843
