X,Y,Z,azimuth,dip,polarity,formation,group
526741.8505289167,7507201.891681332,556.,528.7225917579666,18,1,Turee_Creek_Group,Turee Creek Group
527035.1897370833,7505730.853915349,554.,708.7225917579666,18,1,Turee_Creek_Group,Turee Creek Group
522190.15733918804,7506320.6929681925,535.,529.3977787216321,14,1,Turee_Creek_Group,Turee Creek Group
522466.14152547193,7504846.300642886,533.,709.3977787216321,14,1,Turee_Creek_Group,Turee Creek Group
517811.93840665603,7505502.833320676,514.,529.4397965787639,21,1,Turee_Creek_Group,Turee Creek Group
518086.84127328405,7504028.238998865,509.,709.4397965787639,21,1,Turee_Creek_Group,Turee Creek Group
511939.7221785002,7504505.48427037,490.,531.9664341562632,38,1,Turee_Creek_Group,Turee Creek Group
512149.3519938498,7503020.20472075,489.,711.9664341562632,38,1,Turee_Creek_Group,Turee Creek Group
503663.4171264408,7503556.372218733,464.,536.2488252500273,5,1,Turee_Creek_Group,Turee Creek Group
503761.55250929913,7502059.585845656,461.,716.2488252500273,5,1,Turee_Creek_Group,Turee Creek Group
498113.23912552925,7503458.650450624,456.,185.80899818320438,18,1,Turee_Creek_Group,Turee Creek Group
497961.42031570076,7501966.353211806,445.,365.8089981832044,18,1,Turee_Creek_Group,Turee Creek Group
495042.8307889502,7503793.010630319,466.,186.68416463288378,13,1,Turee_Creek_Group,Turee Creek Group
494868.236427685,7502303.206344845,460.,366.6841646328838,13,1,Turee_Creek_Group,Turee Creek Group
552716.685917467,7504594.753341875,548.,123.63780976438358,1,1,Bunjinah_Formation,Fortescue Group
551467.8521070731,7505425.664958124,553.,303.6378097643836,1,1,Bunjinah_Formation,Fortescue Group
555184.5532162471,7506852.611487112,660.,157.4177555691615,5,1,Bunjinah_Formation,Fortescue Group
554608.5394047026,7508237.605382011,625.,337.4177555691615,5,1,Bunjinah_Formation,Fortescue Group
538817.7483400619,7515669.568259824,720.,193.2664664136522,2,1,Brockman_Iron_Formation,Hamersley Group
538473.5281541082,7514209.598238356,693.,373.2664664136522,2,1,Brockman_Iron_Formation,Hamersley Group
535698.3185996653,7516352.639535173,801.,191.8429584695362,4,1,Brockman_Iron_Formation,Hamersley Group
535390.4737249147,7514884.568851217,720.,371.8429584695362,4,1,Brockman_Iron_Formation,Hamersley Group
