X,Y,Z,code,type
539657.0402188196,7516492.022879522,773.,FA_13532,syncline exposed
538420.579911,7515536.73963947,720.,FA_13532,syncline exposed
537657.9311702,7514576.22413741,693.,FA_13532,syncline exposed
536308.10023412,7512203.9301557,643.,FA_13532,syncline exposed
536084.81931818,7511211.59673895,635.,FA_13532,syncline exposed
535051.97675225,7509241.06543418,632.,FA_13532,syncline exposed
532813.95312872,7507946.76468704,594.,FA_13532,syncline exposed
529280.63631529,7506943.38398254,572.,FA_13532,syncline exposed
524496.40395071,7505989.36161414,542.,FA_13532,syncline exposed
520159.89491395,7505177.63199694,524.,FA_13532,syncline exposed
515738.88476599,7504353.4403226,501.,FA_13532,syncline exposed
515738.88476599,7504353.4403226,501.,FA_13533,syncline exposed
512918.57990842,7503886.20540461,490.,FA_13533,syncline exposed
511170.49426393,7503639.48358651,488.,FA_13533,syncline exposed
507734.2591965,7503071.66286545,482.,FA_13533,syncline exposed
499690.71043924,7502544.29519894,448.,FA_13533,syncline exposed
496383.94900199,7502880.70846349,462.,FA_13533,syncline exposed
493527.1182146452,7503215.508511673,467.,FA_13533,syncline exposed
535081.8073639,7495154.8115613,488.,FA_9633,anticline exposed
539420.74387274,7496089.78824517,485.,FA_9633,anticline exposed
547063.67123121,7499084.1822681,509.,FA_9633,anticline exposed
550833.2808557,7503117.98987413,530.,FA_9633,anticline exposed
553351.25716884,7506902.42842587,575.,FA_9633,anticline exposed
556441.8354521097,7508187.788443252,649.,FA_9633,anticline exposed
544915.70350359,7511860.65243866,646.,FA_11909,syncline exposed
543156.74154043,7513011.45501051,812.,FA_11909,syncline exposed
539746.56594683,7514680.01522238,696.,FA_11909,syncline exposed
537544.71054734,7515199.1512758,737.,FA_11909,syncline exposed
533544.08177724,7516038.05711059,712.,FA_11909,syncline exposed
532242.6695733678,7516492.022879522,799.,FA_11909,syncline exposed
494765.06492677,7498495.31811192,432.,FA_11992,syncline exposed
493527.1182146452,7498102.586091754,508.,FA_11992,syncline exposed
