X,Y,Z,azimuth,dip,polarity,formation
535257.61161618,7499029.61466975,519.,360.0,40,1,Jeerinah_Formation
513483.16318941,7500796.4401854,520.,320.0,55,1,Weeli_Wolli_Formation
523989.54366251,7500823.54711461,574.,355.0,63,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
543234.97739865,7505326.76715363,617.,330.0,15,1,Jeerinah_Formation
543754.18068029,7504599.12601575,556.,330.0,15,1,Jeerinah_Formation
522441.04068434,7500496.57253559,574.,163.0,29,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
506818.58948932,7502594.41579336,478.,176.0,28,1,Turee_Creek_Group
521969.86148165,7509447.16831663,571.,365.0,52,1,Brockman_Iron_Formation
512586.55247517,7509913.03567511,525.,378.0,52,1,Marra_Mamba_Iron_Formation
536864.3112146,7516486.44006065,773.,381.0,54,1,Brockman_Iron_Formation
535856.33026169,7512629.90191351,647.,383.0,32,1,Brockman_Iron_Formation
538825.16687886,7511863.37365568,691.,371.0,9,1,Brockman_Iron_Formation
541065.40971783,7507289.30875077,661.,137.0,26,1,Brockman_Iron_Formation
528702.09351822,7500732.15020471,587.,110.0,41,1,Jeerinah_Formation
535346.60929794,7499105.69666818,519.,175.0,40,1,Jeerinah_Formation
554304.93348599,7496947.32598323,572.,168.0,35,1,Jeerinah_Formation
545557.03288211,7494696.21808249,521.,362.0,15,1,Jeerinah_Formation
544921.82941261,7514333.36252441,838.,440.0,35,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544708.19918899,7514108.86119291,838.,400.0,33,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547332.06601078,7516113.86829699,789.,127.0,28,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
547704.52567933,7513884.34170986,626.,365.0,34,1,Wittenoom_Formation
554929.61134409,7515160.85629446,640.,150.0,15,1,Jeerinah_Formation
547640.63848022,7513734.467746,642.,184.0,34,1,Marra_Mamba_Iron_Formation
538617.61984384,7511806.72349882,691.,191.0,9,1,Brockman_Iron_Formation
535859.02692715,7512398.30549352,647.,201.0,32,1,Brockman_Iron_Formation
494570.98164367,7504016.87884825,474.,170.0,65,1,Turee_Creek_Group
506717.53887565,7502580.66879699,474.,355.0,28,1,Turee_Creek_Group
547242.81740116,7516046.24923983,789.,305.0,28,1,Wittenoom_Formation
540038.91207275,7506751.82918475,714.,338.0,28,1,Brockman_Iron_Formation
521796.72185923,7509376.56236277,597.,181.0,52,1,Brockman_Iron_Formation
544671.5774674,7513917.04057533,743.,219.0,33,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
495057.59334823,7502917.85321805,457.,365.0,55,1,Turee_Creek_Group
521993.39933415,7508834.9892679,554.,171.0,60,1,Weeli_Wolli_Formation
544608.89803516,7514084.37259684,838.,442.0,35,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544512.13000453,7514096.8288444,838.,405.0,26,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
529219.05316166,7512991.48314111,659.,230.0,24,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
536789.57090088,7516217.95425832,726.,200.0,54,1,Brockman_Iron_Formation
537020.13400936,7516172.5715585,717.,181.0,24,1,Brockman_Iron_Formation
