code,Fault_7344,Fault_2235,Fault_2248,Fault_2688,Fault_2689,Fault_2843,Fault_2997,Fault_3496,Fault_3498,Fault_6205,Fault_12645,Fault_12647,Fault_12658,Fault_12660,Fault_14378,Fault_15552,Fault_16769
Boolgeeda_Iron_Formation,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0
Brockman_Iron_Formation,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0
Bunjinah_Formation,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1
Fortescue_Group,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Jeerinah_Formation,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1
Marra_Mamba_Iron_Formation,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0
Mount_McRae_Shale_and_Mount_Sylvia_Formation,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0
Turee_Creek_Group,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Weeli_Wolli_Formation,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0
Wittenoom_Formation,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0
Woongarra_Rhyolite,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0
