GROUP_,id,x,y,z,code
Hamersley Group,6148,516446.69074214,7498643.43120897,571.,Wittenoom_Formation
Hamersley Group,6148,516091.26101893,7498037.4066574,536.,Wittenoom_Formation
Hamersley Group,6148,515870.97036341,7497621.41056542,534.,Wittenoom_Formation
Hamersley Group,6148,509189.36978654,7495491.83015279,579.,Wittenoom_Formation
Hamersley Group,6148,509066.98970629,7495271.31882404,582.,Wittenoom_Formation
Hamersley Group,6148,508920.13245391,7494977.81841967,591.,Wittenoom_Formation
Hamersley Group,6148,508577.48019707,7494781.82181102,590.,Wittenoom_Formation
Hamersley Group,6148,515387.88020121,7497449.91148447,532.,Wittenoom_Formation
Hamersley Group,6148,515090.68117852,7497755.41096752,532.,Wittenoom_Formation
Hamersley Group,6148,513986.42054565,7497327.3909729,541.,Wittenoom_Formation
Hamersley Group,6148,513056.37108889,7496788.87036938,548.,Wittenoom_Formation
Hamersley Group,6148,512591.36833934,7496593.37977315,552.,Wittenoom_Formation
Hamersley Group,6148,512248.70058102,7496421.85992813,559.,Wittenoom_Formation
Hamersley Group,6148,511832.65761016,7496225.85814347,557.,Wittenoom_Formation
Hamersley Group,6148,511514.45191855,7496054.84952935,561.,Wittenoom_Formation
Hamersley Group,6148,511098.38866987,7495858.84794948,566.,Wittenoom_Formation
Hamersley Group,6148,509458.59211443,7495638.81906794,582.,Wittenoom_Formation
Hamersley Group,6148,509311.75079956,7495589.83227136,579.,Wittenoom_Formation
Hamersley Group,6148,514472.00905955,7498277.88919451,651.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,514451.4195099,7498257.40088441,651.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,514010.91027501,7498012.88966045,558.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,513423.51078154,7497792.38968971,590.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,512982.96838775,7497694.88943134,594.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,512542.3797514,7497523.36898805,569.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,512077.39016485,7497302.86816322,614.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,511489.97869872,7496911.36058012,587.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
Hamersley Group,6148,510902.59889295,7496617.85026696,616.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
