index,group number,index in group,number in group,code,group
0,1,1,1,Turee_Creek_Group,Turee_Creek_Group
1,2,1,7,Boolgeeda_Iron_Formation,Hamersley_Group
2,2,2,7,Woongarra_Rhyolite,Hamersley_Group
3,2,3,7,Weeli_Wolli_Formation,Hamersley_Group
4,2,4,7,Brockman_Iron_Formation,Hamersley_Group
5,2,5,7,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
6,2,6,7,Wittenoom_Formation,Hamersley_Group
7,2,7,7,Marra_Mamba_Iron_Formation,Hamersley_Group
8,3,1,3,Jeerinah_Formation,Fortescue_Group
9,3,2,3,Fortescue_Group,Fortescue_Group
10,3,3,3,Bunjinah_Formation,Fortescue_Group
