X,Y,Z,formation
516446.69074214,7498643.43120897,571.,Wittenoom_Formation
516091.26101893,7498037.4066574,536.,Wittenoom_Formation
515870.97036341,7497621.41056542,534.,Wittenoom_Formation
509189.36978654,7495491.83015279,579.,Wittenoom_Formation
515090.68117852,7497755.41096752,532.,Wittenoom_Formation
513056.37108889,7496788.87036938,548.,Wittenoom_Formation
511832.65761016,7496225.85814347,557.,Wittenoom_Formation
509311.75079956,7495589.83227136,579.,Wittenoom_Formation
514472.00905955,7498277.88919451,651.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
512542.3797514,7497523.36898805,569.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
511489.97869872,7496911.36058012,587.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
509654.38957036,7496079.33995714,585.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
507476.13969601,7495026.79869981,611.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
493527.1182146452,7512647.571702665,572.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
496051.87993803,7512519.70964164,592.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
498788.58920526,7511467.2417482,597.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
500011.22081378,7510617.74786448,606.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
500990.21092826,7510372.75771337,606.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
504318.80771734,7509051.31040972,582.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
506692.85034578,7509271.31882478,590.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
508601.86807735,7509320.34794474,544.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
509791.997516,7509010.85772749,527.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
516489.10989085,7497660.42043624,597.,Marra_Mamba_Iron_Formation
515793.12893132,7497078.39958474,573.,Marra_Mamba_Iron_Formation
516885.9020886,7498199.42979174,613.,Marra_Mamba_Iron_Formation
516642.61860186,7497850.43077794,585.,Marra_Mamba_Iron_Formation
516084.35138976,7498918.92114254,552.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
515210.14181899,7498208.40768241,550.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
514809.95045296,7497998.90952444,564.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
512340.63212139,7495887.86019937,563.,Marra_Mamba_Iron_Formation
510036.16036266,7495391.34113998,573.,Marra_Mamba_Iron_Formation
509474.52861274,7494974.32325968,586.,Marra_Mamba_Iron_Formation
515387.88020121,7497449.91148447,532.,Marra_Mamba_Iron_Formation
514342.94894658,7497035.39204401,557.,Marra_Mamba_Iron_Formation
512863.42013538,7496165.36925071,604.,Marra_Mamba_Iron_Formation
548300.1721856187,7516492.022879522,741.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
546880.97881149,7515611.14868719,788.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
545314.56996826,7514632.16104705,804.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
544335.54076253,7512062.14880296,653.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
543478.91032372,7510911.66068574,673.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
542866.96080115,7508635.64761918,662.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
542597.7511562,7507729.65009142,648.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
541936.88974618,7506065.65091761,629.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
538755.14261984,7503960.65023587,649.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
536258.67949783,7503520.1420491,596.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
534325.12103121,7501880.11967149,701.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
532463.80357821,7501487.06753388,573.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
529283.51012455,7501486.06090314,563.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
518912.77772736,7509330.46926409,604.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
523849.76068937,7510813.54871304,570.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
526174.97059272,7512331.08860177,609.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
526786.89931708,7512576.11189434,611.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
529283.53027829,7513310.17996924,640.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
529748.6604519,7514852.20876835,644.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
529846.53825611,7516247.2076062,661.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
516399.80081338,7498690.9206743,613.,Brockman_Iron_Formation
516132.40196246,7498877.91262597,552.,Brockman_Iron_Formation
514561.90876484,7498203.89843184,651.,Brockman_Iron_Formation
514472.00905955,7498277.88919451,651.,Brockman_Iron_Formation
513301.14005878,7498061.88151296,630.,Brockman_Iron_Formation
511367.59776932,7497204.86016635,655.,Brockman_Iron_Formation
510682.32864342,7497009.34923349,685.,Brockman_Iron_Formation
509727.80870954,7496421.8402682,585.,Brockman_Iron_Formation
507769.83022966,7496005.80849499,623.,Brockman_Iron_Formation
506178.92853302,7494708.29140381,675.,Brockman_Iron_Formation
493527.1182146452,7512279.596256159,601.,Brockman_Iron_Formation
495747.89992391,7512269.2096433,598.,Brockman_Iron_Formation
498982.9282567,7511046.25168587,600.,Brockman_Iron_Formation
499905.99140977,7510171.75943151,607.,Brockman_Iron_Formation
501557.2191109,7509739.26992637,632.,Brockman_Iron_Formation
502183.44844421,7509458.28887904,612.,Brockman_Iron_Formation
504580.39910547,7508767.29808596,593.,Brockman_Iron_Formation
506070.36065504,7509156.32003063,644.,Brockman_Iron_Formation
507625.1404499,7508896.8382577,668.,Brockman_Iron_Formation
508445.69064975,7509004.84919285,574.,Brockman_Iron_Formation
509439.04997445,7508724.36061056,619.,Brockman_Iron_Formation
516084.35138976,7498918.92114254,552.,Brockman_Iron_Formation
515699.65068941,7498844.91902979,523.,Brockman_Iron_Formation
514965.43827583,7498453.41030448,574.,Brockman_Iron_Formation
547195.6904279725,7516492.022879522,1066.,Brockman_Iron_Formation
546311.36066494,7515485.1602855,938.,Brockman_Iron_Formation
545260.53229086,7515172.65778932,979.,Brockman_Iron_Formation
544043.07020959,7513263.66124864,863.,Brockman_Iron_Formation
543333.6222507,7512333.14920601,695.,Brockman_Iron_Formation
541927.23956126,7512614.17993348,779.,Brockman_Iron_Formation
542927.26137611,7510676.66073644,797.,Brockman_Iron_Formation
542458.47087411,7508957.66004404,804.,Brockman_Iron_Formation
542239.65812703,7508645.16075299,672.,Brockman_Iron_Formation
541614.60145059,7506144.65167089,671.,Brockman_Iron_Formation
539051.81122807,7504394.64940753,763.,Brockman_Iron_Formation
536270.36833002,7504082.14223355,737.,Brockman_Iron_Formation
534926.42990648,7502457.13098601,739.,Brockman_Iron_Formation
532401.50813829,7501876.60077593,625.,Brockman_Iron_Formation
529113.4114605,7501800.57046113,565.,Brockman_Iron_Formation
527895.38041329,7501600.55062367,551.,Brockman_Iron_Formation
518912.77772736,7509330.46926409,604.,Brockman_Iron_Formation
521402.08978691,7509610.00899969,574.,Brockman_Iron_Formation
523991.42905727,7510603.55907268,570.,Brockman_Iron_Formation
524628.93126082,7510931.06005816,680.,Brockman_Iron_Formation
525541.53930185,7511594.59247982,637.,Brockman_Iron_Formation
526765.85101164,7512269.11991902,614.,Brockman_Iron_Formation
528725.79111039,7512474.6703562,783.,Brockman_Iron_Formation
529892.52033635,7513079.69810155,779.,Brockman_Iron_Formation
530130.41136679,7513612.70976836,660.,Brockman_Iron_Formation
529689.57189909,7514437.69804277,643.,Brockman_Iron_Formation
530148.11791849,7514620.22025313,644.,Brockman_Iron_Formation
530791.37031874,7514798.74672552,690.,Brockman_Iron_Formation
530860.79761279,7514922.23943981,728.,Brockman_Iron_Formation
530485.08880224,7515344.74108496,731.,Brockman_Iron_Formation
530720.10839161,7515894.75172952,914.,Brockman_Iron_Formation
530702.4178876,7516200.23931346,929.,Brockman_Iron_Formation
528009.38002393,7501104.55890638,544.,Brockman_Iron_Formation
523576.8901202,7501033.50114164,673.,Brockman_Iron_Formation
520473.579158,7500907.47207442,605.,Brockman_Iron_Formation
519976.91006078,7500799.46789149,627.,Brockman_Iron_Formation
518912.27037857,7499695.4606132,520.,Brockman_Iron_Formation
516752.109792,7498820.42116343,613.,Brockman_Iron_Formation
510423.12934829,7508407.37011234,525.,Brockman_Iron_Formation
513109.97956084,7508529.88977509,536.,Brockman_Iron_Formation
513736.20769984,7508616.40974935,563.,Brockman_Iron_Formation
516500.23908221,7508810.94945215,566.,Brockman_Iron_Formation
517364.0103144,7509199.45866394,598.,Brockman_Iron_Formation
510062.55902665,7508685.34912221,528.,Brockman_Iron_Formation
510093.07829048,7508648.8573263,528.,Brockman_Iron_Formation
518067.74922615,7509452.46925718,579.,Brockman_Iron_Formation
555261.815971768,7516492.022879522,638.,Jeerinah_Formation
555039.7420314,7514839.63079543,609.,Jeerinah_Formation
551928.04894472,7513125.13168281,631.,Jeerinah_Formation
551088.32145434,7513053.61908453,613.,Jeerinah_Formation
549973.87987323,7512734.61860807,603.,Jeerinah_Formation
548413.86996265,7510999.63763992,596.,Jeerinah_Formation
548034.69859791,7510174.13019728,570.,Jeerinah_Formation
547768.50052133,7510360.13911111,587.,Jeerinah_Formation
547123.42154846,7509784.1305715,571.,Jeerinah_Formation
546760.17189473,7508297.15162212,580.,Jeerinah_Formation
546098.20918874,7506843.14860294,566.,Jeerinah_Formation
544943.52183298,7504761.65970015,544.,Jeerinah_Formation
543357.14034919,7502835.65126185,525.,Jeerinah_Formation
540434.9686215,7500840.14040923,525.,Jeerinah_Formation
538476.5108094,7499571.63122786,508.,Jeerinah_Formation
536808.48900075,7499179.61140207,502.,Jeerinah_Formation
536356.47019615,7499080.11950446,503.,Jeerinah_Formation
534340.19805361,7498999.5989172,510.,Jeerinah_Formation
531560.67008621,7499404.59241221,520.,Jeerinah_Formation
530210.29977782,7499647.07079912,512.,Jeerinah_Formation
528920.51883495,7499359.06107732,504.,Jeerinah_Formation
525476.20094206,7499040.01085423,518.,Jeerinah_Formation
521526.32992318,7497779.45848245,493.,Jeerinah_Formation
519433.31787936,7496282.44009631,515.,Jeerinah_Formation
523609.87046645,7498706.48913864,510.,Jeerinah_Formation
518852.32142054,7513132.95880111,566.,Jeerinah_Formation
519282.04083987,7514866.43473525,610.,Jeerinah_Formation
519018.35662567,7514432.16913719,611.,Jeerinah_Formation
518968.77945902,7513552.45823161,592.,Jeerinah_Formation
522262.58927234,7500072.48211217,552.,Wittenoom_Formation
519637.3397091,7499435.95032536,514.,Wittenoom_Formation
519103.09158567,7499079.9385159,524.,Wittenoom_Formation
518466.13040321,7498460.42998872,521.,Wittenoom_Formation
517576.33932652,7497748.93173469,536.,Wittenoom_Formation
524512.80164159,7500182.00755984,540.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
524248.58790062,7500447.0197916,574.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
522854.10153551,7500070.49063023,552.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
522262.58927234,7500072.48211217,552.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
520251.98120086,7500460.47086168,627.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
519713.53061227,7500191.47044685,583.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
518930.35734213,7499358.95049466,524.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
517461.88110867,7498453.43053188,534.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
528009.38002393,7501104.55890638,544.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
526591.88981018,7500682.03115599,532.,Mount_McRae_Shale_and_Mount_Sylvia_Formation
