WKT	objectid	feature
"LINESTRING (504894.2004085222 7494629.643895278, 504894.1120782 7494629.76913794, 504453.46738197 7495586.77107028, 504011.86972087 7496327.77108867, 503550.63927841 7496953.77019504, 502670.36117825 7497728.77030049, 501912.15340039 7498718.7578341, 501514.12964495 7499307.25802605, 501262.09936371 7499798.76207593, 501193.31062385 7500045.75915589, 501130.78961201 7500270.26155489, 500928.63039694 7500891.77229288, 500855.01686736 7501118.26153069, 500408.90310949 7502253.7661695)"	"7344"	"Fault or shear zone, major"
"LINESTRING (493527.1182146452 7502034.674303141, 494001.25035678 7501818.18628128, 495351.97988451 7501382.70199869, 495633.9809792 7501257.20863416, 496027.36083179 7501082.70958971, 496616.6485727 7500932.71033518, 496792.11878077 7500884.84627898, 496832.90327899 7500873.72092172, 497303.0739429 7500707.23663126)"	"506"	"Fault or shear zone"
"LINESTRING (520020.69483805 7495438.93368951, 519762.19907704 7495904.93975594, 519433.31787936 7496282.44009632, 519021.35990318 7496577.43004279, 518014.1268507 7497123.75740697, 517847.87960707 7497213.92048382)"	"962"	"Fault or shear zone"
"LINESTRING (498093.38492211 7512580.22067323, 497889.57126975 7512844.7384326, 497305.32083904 7513603.22775192, 496529.71139967 7514323.7188075, 495943.45105033 7515082.22060807, 495432.96969413 7515903.23048577, 495046.2388722623 7516492.022879522)"	"965"	"Fault or shear zone"
"LINESTRING (495741.48921594 7515076.21976572, 494587.47004255 7516106.21977209, 494123.3386834949 7516492.022879522)"	"967"	"Fault or shear zone"
"LINESTRING (518061.8375480578 7494629.643895278, 517804.77017997 7494846.41931665, 517393.62924844 7495306.91982853, 517026.31924961 7495626.90764268, 516855.68842699 7495863.41167651, 516444.34235097 7496285.90853327, 515754.79905719 7497040.40949866, 515572.22832905 7497244.41082431, 515387.88020121 7497449.91148447, 515090.68117852 7497755.41096752, 515033.51324235 7497814.39732047, 514809.95045296 7497998.90952445, 514561.90876484 7498203.89843185, 514472.00905955 7498277.88919451, 514412.7483578 7498326.90143242, 514229.46894694 7498441.40168252, 514165.47413392 7498481.40037068, 513025.75434247 7499531.38430439)"	"2235"	"Fault or shear zone"
"LINESTRING (512640.29950574 7497963.86951828, 511257.25246902 7499413.36914816, 511105.6788717 7499624.35751008)"	"2246"	"Fault or shear zone"
"LINESTRING (522843.71380063 7511577.4211285, 522667.64324426 7511811.67281953, 522459.5291779 7512088.52096737, 522004.11183369 7512606.52023572, 521206.44805255 7513361.99073525, 520542.46265294 7514160.96857664, 519928.68076875 7514807.45946212, 519637.84378016 7515158.94141297, 519480.05589177 7515414.44067142, 519418.4346492 7515485.76366912, 519041.14193347 7515922.43816204, 518548.939828769 7516492.022879522)"	"2248"	"Fault or shear zone"
"LINESTRING (510631.01132033 7496937.4315802, 509447.91276579 7497399.33211582, 508057.5648039 7497890.83683742, 507162.75020315 7498283.81991756, 506845.54890369 7498444.82115592, 506136.01832876 7499008.31268608, 505769.049991 7499405.30830176, 504845.39350805 7500357.31329511, 503823.90286561 7501484.11998188)"	"2688"	"Fault or shear zone"
"LINESTRING (500011.29030237 7500081.73764645, 500225.58119196 7499852.75129733, 500317.04067994 7499722.74787672, 500540.32390199 7499405.75407872, 500693.8478709 7499210.24120471, 500879.68003557 7498973.74973925, 501067.49699173 7498734.73884539, 501690.54785682 7498015.74886683, 502102.86408409 7497413.75487866, 502494.88813115 7496940.75366979, 502543.11011287 7496867.25842809, 502892.62123202 7496333.75041521, 503467.68452946 7495573.26253252)"	"2689"	"Fault or shear zone"
"LINESTRING (505915.6287035 7508804.80710786, 506726.50271604 7508144.82547752, 507530.72211109 7507427.83760177, 508245.74935398 7506672.84189831, 508586.83144467 7506187.34996761, 508959.40851014 7505671.34795423, 509170.22937894 7505384.20382169, 509196.91234511 7505347.85984386, 509390.34921923 7505116.84933964, 509634.33052316 7504825.36077094, 509787.77256559 7504640.36418173, 510066.18744029 7504346.3751795, 510560.51427431 7503993.37264487, 511170.49426393 7503639.48358651, 511302.52396968 7503562.87918146, 512019.33467082 7503183.88632349, 512378.69223974 7502790.37781566, 512482.67910213 7502680.07480504, 512803.84000718 7502339.39194001, 513018.03829121 7501955.39928763, 513106.53041648 7501796.901871, 513377.91096413 7501368.88972171, 513751.01193078 7500914.9009555, 513929.31901189 7500757.3978199, 514426.27836077 7500319.4083024, 514491.93672764 7500261.41079959, 515378.95553144 7499575.91353935, 515891.7593447 7499082.90846197, 515937.86030956 7499043.41833768, 516084.35138976 7498918.92114254, 516132.40196246 7498877.91262598, 516399.80081338 7498690.9206743, 516446.69074214 7498643.43120897, 516885.9020886 7498199.42979174, 516997.11223369 7498099.42919669, 517453.48725954 7497683.89853831, 517473.77941979 7497665.42163345, 517847.87960707 7497213.92048382, 517992.77992138 7496926.42913488, 518383.93146578 7496275.42011283, 518769.29014774 7495725.92848905, 519033.60405131 7495151.43264908, 519242.8970615987 7494629.643895278)"	"2843"	"Fault or shear zone"
"LINESTRING (540273.7614171185 7494629.643895278, 540139.05340998 7494814.13423512, 539420.74387274 7496089.78824517, 539394.93209254 7496135.62297114, 539028.58285976 7496659.63465747, 538598.44607519 7497133.1117222, 538110.6330664899 7497524.11207555, 537533.494343 7497858.11327313, 536981.50944426 7498128.61605469, 536416.39474816 7498309.60412959, 535889.29443311 7498465.10473309, 535476.49000407 7498575.61415051, 534479.0962729499 7498804.10098736)"	"2997"	"Fault or shear zone"
"LINESTRING (554862.03073534 7497234.0601492, 554527.5386105001 7496881.23194422)"	"3370"	"Fault or shear zone"
"LINESTRING (526165.3079844399 7494629.643895278, 526035.07836964 7495088.00375303, 525796.65808711 7495764.01378774, 525855.19764379 7496044.01467372, 525794.77713101 7496712.51283815, 525856.83559773 7497705.0160571, 525757.7510356701 7498272.01408908, 525089.15708681 7499446.52318718, 524596.2758800799 7500098.51540907, 524512.80164159 7500182.00755984, 524248.58790062 7500447.0197916, 523887.39582506 7500808.99943623, 523814.80919092 7500861.50106209, 523576.8901202 7501033.50114164, 523090.59194631 7501408.48978086, 522521.98180311 7501847.49948718, 522422.25158683 7501924.49156487, 522189.26567998 7502103.99834995)"	"3496"	"Fault or shear zone"
"LINESTRING (537496.5522121149 7494629.643895278, 536855.6906764701 7495537.21949823, 536570.44569593 7495941.11459244, 534479.0962729499 7498804.10098736, 534340.19805361 7498999.59891721, 534210.08037376 7499182.60107616, 533285.1919484599 7500484.10048948, 533038.92839015 7500854.6003846, 532980.30230737 7500984.59894823, 532914.74969844 7501129.60123437, 532869.00517466 7501231.109522, 532622.25910074 7501487.10041895, 532540.00999317 7501632.11100112, 532401.50813829 7501876.60077593, 532130.46012056 7502165.59858725, 531813.06703894 7502503.61203035, 531205.5805996699 7503124.10487552, 531092.21003941 7503242.11012067, 530852.9701849601 7503491.10155774, 530456.14134542 7503904.60914794, 530330.9386297 7504034.60013126, 530175.96563729 7504196.10320143)"	"3498"	"Fault or shear zone"
"LINESTRING (509508.64289135 7495457.83221142, 510036.16036266 7495391.34113998, 510068.06069821 7495416.34177074, 510588.87081479 7495279.84101645, 511236.90579325 7495149.35565486, 511930.13609918 7495158.36316931, 512737.06192022 7495007.37438277, 512907.59194833 7494944.37020887, 512998.05985714 7494910.87013504, 513435.36846879 7494748.87091778, 513659.3787814747 7494629.643895278)"	"5298"	"Fault or shear zone"
"LINESTRING (546077.04500014 7511377.57251071, 546760.38333391 7510983.12099207, 547274.14857214 7510712.64085564, 547768.50052133 7510360.13911111, 548034.69859791 7510174.13019729, 548653.86104331 7509880.75526473)"	"5484"	"Fault or shear zone"
"LINESTRING (529446.15654198 7499851.69059059, 529080.29154628 7500220.56001858, 528861.28210911 7500456.37665686, 528593.15904813 7500745.0615622, 528419.5086110201 7500966.56095005, 528302.37962347 7501116.06109037, 528055.80054875 7501423.05933658, 527895.38041329 7501600.55062368, 527190.8102288001 7502380.04191009, 527002.75123602 7502588.05130071, 526806.65661071 7502805.05577927)"	"6000"	"Fault or shear zone"
"LINESTRING (501451.3163850122 7494629.643895278, 500204.83895548 7495523.22119873, 499669.31959931 7495830.71928271, 498941.5994024 7496248.72229838, 498911.9719992 7496268.2440012, 498528.80024163 7496520.70900648, 498335.69051674 7496649.72523305, 497480.13047974 7497008.2113185, 497312.02296961 7497081.81987627, 496421.53968978 7497471.6897983, 495645.76982964 7498034.67985954, 495254.83522926 7498426.18478417, 495059.40490415 7498653.6968545, 494908.14113103 7498912.69034641, 494586.65895936 7499392.68883047, 493867.77834453 7500056.6909958, 493527.1182146452 7500347.155713552)"	"6205"	"Fault or shear zone, major"
"LINESTRING (501346.44876045 7506818.77614574, 501829.59200112 7506503.16414138, 502385.9130002 7506087.28435546, 502834.85703278 7505643.79741573, 503436.89837811 7505101.30138026)"	"8910"	"Fault or shear zone"
"LINESTRING (523814.80919092 7500861.50106209, 524403.0688352101 7500914.50825195, 525518.20125753 7500983.10386043, 526591.38175092 7501049.0416828, 528009.38002393 7501104.55890638, 528302.37962347 7501116.06109037)"	"11445"	"Fault or shear zone"
"LINESTRING (493926.41551169 7501107.18854831, 494549.48536353 7500723.70194204, 495172.53541521 7500292.20283912, 495222.42012316 7500244.70982858, 496011.26787581 7499501.19835569, 496195.51775323 7499347.71084051, 496442.57293322 7499141.71741236, 497504.44690044 7498307.71915558, 497785.84596536 7498089.6718331, 498252.49614506 7497728.05392798, 498623.25863737 7497440.71917729, 498753.97036633 7497370.71019012, 498982.70141724 7497248.72329073, 499557.82911011 7497009.23536125)"	"12645"	"Fault or shear zone"
"LINESTRING (528055.80054875 7501423.05933658, 529283.51012455 7501486.06090314, 529735.54628834 7501486.24418653, 530418.70911618 7501486.4958822, 531172.41077884 7501486.73834442, 532463.8035782099 7501487.06753388, 532622.25910074 7501487.10041895)"	"12646"	"Fault or shear zone"
"LINESTRING (520343.17884566 7501712.97896174, 521600.978795 7500716.47986228, 522066.44076737 7500347.99055952, 522262.58927234 7500072.48211218, 523291.23883935 7498627.49077638, 523430.9410852 7498430.97971338, 524119.3216712 7497642.51516716, 524494.0876216301 7496605.00666576, 524724.62548089 7495307.98749757, 525017.5338551209 7494629.643895278)"	"12647"	"Fault or shear zone"
"LINESTRING (546639.32683299 7512670.78252025, 547057.7754359 7512183.62565854, 547482.99167866 7511755.15088418, 547514.27067336 7511723.63079608, 547817.78003248 7511359.13963683, 547988.05819589 7511059.14206046, 548241.14158319 7510796.6291774, 548272.14054764 7510624.62928941, 548653.86104331 7509880.75526473, 548691.0370235899 7509786.30969332, 548901.39199359 7509041.56628439, 548978.5008560501 7508211.38333105, 548948.53390282 7507152.60603048, 548779.6855026 7504205.42359491, 548696.4036478 7503089.56673039, 548667.18383825 7502259.71665453, 548771.4828855901 7501629.77815787, 549125.6591833601 7501291.06209152, 549221.86553991 7501199.0512453, 550309.2222200501 7500537.29586449, 551263.6320669299 7499875.89151242, 551387.97248765 7499780.9937221, 551979.20552504 7499329.72864007, 552615.4234901801 7498898.28016168, 552794.04956652 7498772.5523466)"	"12658"	"Fault or shear zone"
"LINESTRING (509566.75673552 7514303.3448132, 510217.52617271 7513415.36494155, 510843.50506585 7512668.3553843, 511514.10733779 7511925.37107812, 511585.4849078 7511823.9978136, 511842.55812802 7511458.87810747, 512273.44115307 7511131.88180846, 512504.22348766 7510989.77199767, 512774.41027431 7510823.39020299, 513218.35111841 7510572.88880138, 513494.30862035 7510473.48224097, 514456.26884338 7510126.91208084, 514671.17995679 7510075.33955267, 514970.8490301 7510003.42179366, 515394.92751296 7509828.8456503, 515762.92112246 7509734.92977995, 516050.24149141 7509647.43350568, 517524.07836862 7509517.96063803, 517746.86032914 7509496.4685744, 518067.74922615 7509452.46925718, 518912.77772736 7509330.46926409, 519307.44022161 7509273.48997862, 520543.73483977 7509095.01279117, 521090.55123523 7509073.01052396)"	"12660"	"Fault or shear zone"
"LINESTRING (504095.73363437 7512570.3030599, 505625.74541666 7512027.30103199, 506206.44580159 7511827.10515704, 506432.07534958 7511749.31227179, 507441.45093646 7511374.32801798, 508196.46077917 7511007.84064892, 508791.66823845 7510463.3499764, 509029.11326432 7510130.30641877, 509206.24967423 7509881.84068576, 509236.87980538 7509831.84026745, 509514.93959476 7509377.85225341, 509593.49222407 7509249.86277294, 509791.997516 7509010.85772749, 510062.55902665 7508685.34912221, 510093.07829048 7508648.85732631, 510423.12934829 7508407.37011235, 510916.89833921 7508045.88065615, 511817.95553816 7507627.37742074, 512313.49994493 7507522.90006894, 512770.79001159 7507399.40907883, 513462.9393362 7507185.91055259, 514147.99990666 7506812.92062652, 514376.33966949 7506684.4202721, 514710.9014938 7506357.4292695, 514855.39826789 7506149.94119145, 514948.98055504 7506013.92941611, 515178.57797709 7505680.4292726, 515243.85978289 7505523.4307279, 515694.68618334 7504430.43027069, 515738.88476599 7504353.4403226, 516394.71281388 7503210.94009311, 516559.52884586 7502992.44223246, 516863.05789255 7502589.94232609, 516965.38096195 7502458.64066976, 516985.40934179 7502432.9397205, 517381.03036753 7501996.4504586, 517439.45226521 7501894.93914092, 517626.97828778 7501568.43814849, 517873.43954899 7501235.94113834, 517978.50258812 7501117.44098539, 518524.9442624 7500500.44191141, 518815.13140255 7500008.94937101, 518839.30872175 7499930.93991049, 518912.27037857 7499695.46061321, 518959.73934571 7499542.45116102, 519006.42959692 7499391.45138507, 519103.09158567 7499079.93851591, 519142.37342451 7498952.95056238, 519198.90885568 7498812.44902131, 519252.20101763 7498679.95235482, 519335.66180724 7498472.43955491, 519782.08844692 7497413.44831201, 520002.38850294 7496934.94194691, 520209.10836453 7496271.9499226, 520631.03544852 7495403.9455309)"	"14378"	"Fault or shear zone"
"LINESTRING (495633.9809792 7501257.20863416, 495521.8900243 7500912.70981707, 495452.38958927 7500830.70027446, 495370.24857239 7500685.71067034, 495313.31005053 7500540.71094951, 495222.42012316 7500244.70982858)"	"14373"	"Fault or shear zone"
