WKT	geopnt_id	dip	strike
"POINT (535257.61161618 7499029.61466975)"	"4008"	"40"	"270"
"POINT (513483.16318941 7500796.4401854)"	"6395"	"55"	"230"
"POINT (523989.54366251 7500823.54711461)"	"15700"	"63"	"265"
"POINT (543234.97739865 7505326.76715363)"	"17962"	"15"	"240"
"POINT (543754.18068029 7504599.12601575)"	"18709"	"15"	"240"
"POINT (510521.57632182 7494679.37377034)"	"18818"	"0"	"54"
"POINT (520512.91272022 7497506.01464819)"	"18819"	"0"	"75"
"POINT (522441.04068434 7500496.57253559)"	"18820"	"29"	"73"
"POINT (506818.58948932 7502594.41579336)"	"18821"	"28"	"86"
"POINT (521969.86148165 7509447.16831663)"	"18822"	"52"	"275"
"POINT (512586.55247517 7509913.03567511)"	"18823"	"52"	"288"
"POINT (502945.75971912 7513878.44360519)"	"18824"	"0"	"293"
"POINT (531529.04960378 7516327.45639567)"	"18863"	"0"	"280"
"POINT (536864.3112146 7516486.44006065)"	"18865"	"54"	"291"
"POINT (538184.36032777 7515938.42518733)"	"18867"	"0"	"288"
"POINT (542473.35049011 7515998.89803753)"	"18869"	"0"	"307"
"POINT (541120.39123803 7514974.39459901)"	"18870"	"0"	"283"
"POINT (543245.69673061 7514289.87276969)"	"18871"	"0"	"301"
"POINT (542385.71436976 7515423.89176684)"	"18872"	"0"	"283"
"POINT (540085.08033573 7514695.39822979)"	"18873"	"0"	"289"
"POINT (537926.90666608 7514695.41267879)"	"18874"	"0"	"301"
"POINT (530521.09573314 7513906.41113555)"	"18875"	"0"	"320"
"POINT (529732.18822205 7512580.87491295)"	"18876"	"0"	"273"
"POINT (535856.33026169 7512629.90191351)"	"18877"	"32"	"293"
"POINT (538825.16687886 7511863.37365568)"	"18878"	"9"	"281"
"POINT (541065.40971783 7507289.30875077)"	"18879"	"26"	"47"
"POINT (528702.09351822 7500732.15020471)"	"18880"	"41"	"20"
"POINT (535346.60929794 7499105.69666818)"	"18881"	"40"	"85"
"POINT (554304.93348599 7496947.32598323)"	"18909"	"35"	"78"
"POINT (545557.03288211 7494696.21808249)"	"18910"	"15"	"272"
"POINT (553905.120414 7505481.85031989)"	"18912"	"0"	"58"
"POINT (544921.82941261 7514333.36252441)"	"18914"	"35"	"350"
"POINT (544708.1991889901 7514108.86119291)"	"18915"	"33"	"310"
"POINT (547332.0660107801 7516113.86829699)"	"18916"	"28"	"37"
"POINT (547704.52567933 7513884.34170986)"	"18917"	"34"	"275"
"POINT (554929.61134409 7515160.85629446)"	"18918"	"15"	"60"
"POINT (547640.63848022 7513734.467746)"	"24397"	"34"	"94"
"POINT (538617.61984384 7511806.72349882)"	"24404"	"9"	"101"
"POINT (535859.02692715 7512398.30549352)"	"24480"	"32"	"111"
"POINT (494570.98164367 7504016.87884825)"	"24591"	"65"	"80"
"POINT (506717.53887565 7502580.66879699)"	"24598"	"28"	"265"
"POINT (547242.81740116 7516046.24923983)"	"24658"	"28"	"215"
"POINT (540038.91207275 7506751.82918475)"	"24990"	"28"	"248"
"POINT (521796.72185923 7509376.56236277)"	"25130"	"52"	"91"
"POINT (544671.5774674 7513917.04057533)"	"25238"	"33"	"129"
"POINT (495057.59334823 7502917.85321805)"	"25409"	"55"	"275"
"POINT (521993.39933415 7508834.9892679)"	"25437"	"60"	"81"
"POINT (544608.89803516 7514084.37259684)"	"25521"	"35"	"352"
"POINT (544512.13000453 7514096.8288444)"	"25565"	"26"	"315"
"POINT (529219.05316166 7512991.48314111)"	"25644"	"24"	"140"
"POINT (536789.57090088 7516217.95425832)"	"25696"	"54"	"110"
"POINT (537020.13400936 7516172.5715585)"	"25840"	"24"	"91"
